PIDN,ADDRESS,SALE_TEXT,SALES_CODE,LANDUSE_TE,RECD_DATE,RECD_PRICE,CITY_TEXT,DEED,lat,long
055-23-19-006.00,11 CATALPA ST,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,2/28/2019,33100,COVINGTON,C 6608/  86,39.0621,-84.5041
055-24-08-016.00,20 28TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/28/2019,105000,COVINGTON,C 6608/  98,39.0552,-84.5046
055-24-10-010.00,2809 DECOURSEY AVE,SALE PRICE NOT FAIR MARKET VALUE,19,TWO FAMILY,2/8/2019,35000,COVINGTON,C 6596/ 168,39.055,-84.5037
055-31-03-030.00,1340 KENDALL ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/1/2019,39900,COVINGTON,C 6592/ 277,39.0762,-84.5018
055-31-03-048.00,304 BYRD ST,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,2/21/2019,25000,COVINGTON,C 6604/ 155,39.0757,-84.5029
055-31-04-013.00,316 15TH ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,TWO FAMILY,2/27/2019,36600,COVINGTON,C 6607/ 324,39.0748,-84.5019
055-31-12-017.00,1537 EASTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/6/2019,97000,COVINGTON,C 6595/ 105,39.0738,-84.4988
055-31-21-011.00,522-24 17TH ST E,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/19/2019,24000,COVINGTON,C 6603/ 182,39.0717,-84.4976
055-31-23-001.00,1540 OAKLAND AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/12/2019,26600,COVINGTON,C 6599/  54,39.0741,-84.4973
055-32-04-076.00,2119 EASTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/26/2019,130000,COVINGTON,C 6606/ 182,39.0659,-84.4988
055-32-19-004.00,513 18TH ST E,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,2/1/2019,23000,COVINGTON,C 6592/ 292,39.0699,-84.498
055-32-21-005.00,517 DELMAR PL,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,2/1/2019,96500,COVINGTON,C 6592/ 235,39.0684,-84.4978
055-32-24-001.00,2120 EASTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,RETAIL W/APARTMENTS,2/4/2019,122500,COVINGTON,C 6593/ 161,39.066,-84.4984
055-32-25-008.03,501-03 WALLACE AVE,SALE PRICE NOT FAIR MARKET VALUE,19,TWO FAMILY,2/6/2019,60000,COVINGTON,C 6594/ 295,39.0651,-84.4984
055-41-09-003.00,205 LEVASSOR PL,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/20/2019,134000,COVINGTON,C 6603/ 326,39.0607,-84.5005
056-11-01-036.00,2750 LATONIA AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/4/2019,34000,COVINGTON,C 6592/ 295,39.0504,-84.5154
056-11-02-026.00,2766 DAKOTA AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,2/11/2019,60000,COVINGTON,C 6597/ 330,39.0503,-84.5143
056-11-07-006.00,2943 MADISON AVE,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,2/13/2019,15000,COVINGTON,C 6599/ 265,39.0532,-84.5123
056-11-07-012.00,708 HAZEL ST,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,2/26/2019,148500,COVINGTON,C 6606/ 128,39.0529,-84.5121
056-11-07-013.00,710 HAZEL ST,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,2/26/2019,148500,COVINGTON,C 6606/ 128,39.0528,-84.5123
056-12-01-019.00,908 33RD ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/21/2019,106500,COVINGTON,C 6604/  95,39.0465,-84.5147
056-13-18-006.00,22 36TH ST W,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,2/11/2019,107500,COVINGTON,C 6597/ 344,39.0487,-84.5044
056-31-07-018.00,112 31ST ST E,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,2/4/2019,20000,COVINGTON,C 6593/ 155,39.0541,-84.5014
056-31-08-014.00,112 32ND ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/5/2019,63000,COVINGTON,C 6593/ 295,39.0535,-84.5012
056-31-08-015.00,114 32ND ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,TWO FAMILY,2/21/2019,72000,COVINGTON,C 6604/ 237,39.0535,-84.501
056-32-20-052.00,3708 PARK AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,2/22/2019,65000,COVINGTON,C 6605/  70,39.0471,-84.499
056-40-00-004.00,4509 CARROLL ST,DEED CORRECTION/QUIT CLAIM/MC SALES,15,SINGLE FAMILY,2/26/2019,121500,COVINGTON,C 6606/ 308,39.0369,-84.4934
056-41-10-014.00,320 44TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/26/2019,91000,COVINGTON,C 6606/ 244,39.0396,-84.4956
056-43-08-019.00,4416 VERMONT AVE,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,2/21/2019,15000,COVINGTON,C 6604/ 161,39.039,-84.494
056-43-09-009.00,413 BALTIMORE AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/8/2019,60000,COVINGTON,C 6596/ 176,39.0381,-84.4938
056-44-00-001.25,4506 VIRGINIA AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,2/28/2019,26600,COVINGTON,C 6608/ 273,39.0377,-84.4905
056-44-01-021.00,4522 DECOURSEY AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,4-19 UNIT APARTMENTS,2/4/2019,85000,COVINGTON,C 6592/ 346,39.0365,-84.4953
058-40-00-229.00,572 GARNER DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/15/2019,150000,COVINGTON,I 4226/  17,38.9858,-84.4967
059-00-00-022.00,689 GARNER DR,SALE PRICE NOT FAIR MARKET VALUE,19,SINGLE FAMILY,2/11/2019,69000,COVINGTON,I 4224/ 212,38.9843,-84.5017
059-30-00-116.02,692 CLOVER DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,2/11/2019,349000,COVINGTON,I 4224/ 274,38.9832,-84.5013
040-10-01-001.00,309 ALTAMONT RD,NH SALE/CHANGED BY CONSTRUCTION,8,UNLIVABLE STRUCTURE,4/11/2018,30000,COVINGTON,C 6387/ 305,39.0931,-84.5383
040-14-24-002.00,1250 HIGHWAY AVE,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/20/2018,26600,COVINGTON,C 6394/  81,39.0894,-84.5336
040-14-25-007.00,1280 PARKWAY AVE,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,4/2/2018,45000,COVINGTON,C 6381/ 199,39.0894,-84.5351
040-14-25-008.00,1278 PARKWAY AVE,SALE $ INCL> 1 PROPERTY,11,VACANT LAND,4/2/2018,45000,COVINGTON,C 6381/ 199,39.0895,-84.535
040-30-00-176.00,1112 HIGH ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,4/2/2018,8000,COVINGTON,C 6382/  49,39.0886,-84.5333
040-30-00-184.00,606 ALTAMONT RD,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/16/2018,43300,COVINGTON,C 6390/ 244,39.0882,-84.5337
040-32-05-024.00,1192 WESTPORT WAY,GOOD SALE/ARMS LENGTH TRANSACTION,0,TOWNHOME,4/20/2018,480800,COVINGTON,C 6394/ 101,39.0909,-84.5305
040-41-05-009.00,1008 PARK LN,VACANT LOTS & LAND SALES,21,VACANT LAND,4/2/2018,118000,COVINGTON,C 6381/  44,39.0824,-84.5309
040-41-12-089.00,P089 WINDING WAY,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,4/17/2018,142000,COVINGTON,C 6391/  27,39.0841,-84.5272
040-43-02-022.00,630 WESTERN AVE,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,4/2/2018,132500,COVINGTON,C 6381/ 233,39.0833,-84.5241
040-43-09-016.00,623 BAKEWELL ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/10/2018,164000,COVINGTON,C 6387/ 239,39.0834,-84.519
040-43-09-018.00,629 BAKEWELL ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/5/2018,114000,COVINGTON,C 6384/ 194,39.0832,-84.519
040-43-10-013.01,721 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,PAVED LOT,4/20/2018,860000,COVINGTON,C 6394/ 154,39.0818,-84.519
040-43-10-014.01,723 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,4-19 UNIT APARTMENTS,4/20/2018,860000,COVINGTON,C 6394/ 154,39.0817,-84.519
040-43-10-014.02,725 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,4-19 UNIT APARTMENTS,4/20/2018,860000,COVINGTON,C 6394/ 154,39.0817,-84.519
040-43-10-014.03,727 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,4-19 UNIT APARTMENTS,4/20/2018,860000,COVINGTON,C 6394/ 154,39.0816,-84.519
040-43-10-024.00,724 PHILADELPHIA ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/9/2018,158000,COVINGTON,C 6386/ 229,39.0818,-84.5198
040-43-10-024.01,726 PHILADELPHIA ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/4/2018,152500,COVINGTON,C 6383/  81,39.0818,-84.5198
040-43-11-012.00,410 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,RESTAURANT CAFE/BAR,4/11/2018,285000,COVINGTON,C 6387/ 334,39.0861,-84.5185
040-43-11-013.00,408 BAKEWELL ST,SALE $ INCL> 1 PROPERTY,11,PAVED LOT,4/11/2018,285000,COVINGTON,C 6387/ 334,39.0862,-84.5185
040-44-01-018.00,927 WESTERN AVE,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,4/6/2018,43000,COVINGTON,C 6385/ 115,39.0772,-84.5242
040-44-01-039.00,921 WORTH ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,4/9/2018,15000,COVINGTON,C 6386/ 253,39.0769,-84.5249
040-44-04-007.00,812 CRESCENT AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/2/2018,40000,COVINGTON,C 6381/ 186,39.0806,-84.5231
040-44-04-020.00,844 CRESCENT AVE,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,4/25/2018,62000,COVINGTON,C 6396/ 200,39.0797,-84.523
040-44-07-011.00,707 LEWIS ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/18/2018,37000,COVINGTON,C 6392/ 112,39.077,-84.5226
040-44-11-009.01,921 PHILADELPHIA ST,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/10/2018,84700,COVINGTON,C 6387/ 231,39.079,-84.5195
040-44-16-018.02,428 9TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,TWO FAMILY,4/25/2018,201000,COVINGTON,C 6396/ 230,39.0802,-84.5186
040-44-17-027.00,928 PHILADELPHIA ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/19/2018,75000,COVINGTON,C 6392/ 347,39.079,-84.519
041-30-02-004.16,1190 GRAYS PEAK,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,4/25/2018,505000,COVINGTON,C 6396/ 249,39.0743,-84.5237
041-40-00-002.01,908 HIGHLAND AVE,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/17/2018,95000,COVINGTON,C 6390/ 323,39.0612,-84.5233
043-00-03-003.13,2424 AMBRATO WAY,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,4/27/2018,149100,COVINGTON,I 4099/  55,39.0093,-84.525
045-00-01-155.00,2474 EVERGREEN DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/17/2018,155000,COVINGTON,I 4094/ 240,38.9901,-84.5226
045-10-00-005.00,280 MADISON PK,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/24/2018,18500,COVINGTON,I 4097/ 252,38.9813,-84.5391
045-10-01-032.00,2147 GRIBBLE DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/9/2018,158000,COVINGTON,I 4090/ 320,38.9813,-84.538
045-10-01-209.00,2222 CUSTER LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/30/2018,197000,COVINGTON,I 4100/ 143,38.9756,-84.5333
045-10-01-218.00,2203 CUSTER LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/27/2018,179900,COVINGTON,I 4099/ 206,38.9746,-84.5335
045-10-01-263.00,2199 SUMMERLIN ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/5/2018,182900,COVINGTON,I 4089/ 138,38.9754,-84.5355
045-30-00-030.00,15 MEADOW HILL DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/24/2018,130000,COVINGTON,I 4097/ 193,38.9815,-84.5229
045-30-00-044.00,118 MEADOW HILL DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/25/2018,129500,COVINGTON,I 4098/ 160,38.979,-84.5236
045-30-00-340.00,115 TANDO WAY,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/5/2018,132000,COVINGTON,I 4089/ 162,38.98,-84.5212
045-30-00-343.00,118 TANDO WAY,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/16/2018,84500,COVINGTON,I 4093/  74,38.9797,-84.5202
045-30-00-410.00,1 BLUFFSIDE DR,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/13/2018,109000,COVINGTON,I 4092/ 226,38.9799,-84.5215
045-30-00-478.00,21 JUAREZ CIR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/9/2018,85000,COVINGTON,I 4090/ 228,38.9822,-84.5192
045-30-00-481.00,24 JUAREZ CIR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/9/2018,85000,COVINGTON,I 4090/ 224,38.9821,-84.5184
045-30-00-534.00,147 BLUFFSIDE DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/19/2018,75000,COVINGTON,I 4095/ 190,38.9859,-84.5278
045-30-01-059.00,87 PITMAN CT,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/6/2018,146500,COVINGTON,I 4089/ 218,38.9777,-84.5146
045-30-01-071.00,199 TANDO WAY,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/27/2018,154000,COVINGTON,I 4099/ 309,38.9775,-84.5162
045-30-01-119.00,177 BEAVER CT,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/13/2018,165000,COVINGTON,I 4092/ 271,38.976,-84.5194
045-30-01-129.00,174 COYOTE CT,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/18/2018,135000,COVINGTON,I 4094/ 323,38.9757,-84.5191
045-30-01-156.00,95 INDIANCREEK DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/25/2018,120000,COVINGTON,I 4098/ 101,38.9759,-84.5172
045-30-01-182.00,165 POSSUMTROT DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/5/2018,180000,COVINGTON,I 4089/ 180,38.975,-84.5164
045-40-00-056.00,157 MEADOW HILL DR,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/4/2018,90700,COVINGTON,I 4088/ 261,38.9757,-84.525
045-40-00-071.00,159 MEADOW HILL DR,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/12/2018,117500,COVINGTON,I 4092/  64,38.9755,-84.525
054-14-15-004.00,327 RIVERSIDE DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,4/10/2018,550000,COVINGTON,C 6387/ 196,39.0911,-84.5056
054-21-04-035.00,320 7TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/10/2018,152000,COVINGTON,C 6387/ 174,39.0831,-84.5164
054-22-09-005.00,417 11TH ST W,FORECLOSURE XFER/PURCHASE FROM BANK,12,SINGLE FAMILY,4/3/2018,33300,COVINGTON,C 6382/ 330,39.0775,-84.5163
054-22-12-021.00,834 WILLARD ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/13/2018,285500,COVINGTON,C 6389/ 224,39.0807,-84.5159
054-22-22-012.00,1226 FISK ST,SALE $ INCL> 1 PROPERTY,11,SINGLE FAMILY,4/30/2018,60000,COVINGTON,C 6399/  74,39.0759,-84.514
054-23-16-109.00,SCOTT ST,SALE $ INCL> 1 PROPERTY,11,GARAGE/PARKING SPACE,4/19/2018,155000,COVINGTON,C 6393/  67,39.0818,-84.5074
054-23-17-016.00,422 GREENUP ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,4/30/2018,330000,COVINGTON,C 6399/ 172,39.0869,-84.5074
054-23-26-014.00,604 GARRARD ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,4/24/2018,300000,COVINGTON,C 6396/  44,39.0852,-84.505
054-24-12-015.00,130 10TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/13/2018,115000,COVINGTON,C 6389/ 145,39.0812,-84.5069
054-24-20-013.00,1311 GREENUP ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,THREE FAMILY,4/11/2018,80000,COVINGTON,C 6388/ 110,39.0766,-84.5053
054-24-21-003.00,209 10TH ST E,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,4/2/2018,15000,COVINGTON,C 6381/ 193,39.081,-84.5056
054-24-26-008.00,221 TREVOR ST,NH SALE/CHANGED BY CONSTRUCTION,8,SINGLE FAMILY,4/25/2018,20000,COVINGTON,C 6396/ 227,39.0776,-84.5041
