id,date,hap,fdate,saledate,saleval,fdummy,sdummy,spell
040.44.08.003.00,6/1/14,0,,,9.903487553,0,0,60
040.44.14.008.00,6/1/14,0,,12/1/18,10.50506754,0,1,54
040.44.15.012.00,6/1/14,0,,,12.4874851,0,0,60
041.33.09.002.01,6/1/14,0,,,9.903487553,0,0,60
043.00.03.009.13,6/1/14,0,,,11.66048303,0,0,60
044.20.00.038.00,6/1/14,0,,,11.77528973,0,0,60
045.00.01.179.00,6/1/14,0,,,11.69441334,0,0,60
045.00.01.195.00,6/1/14,0,,,11.91839057,0,0,60
045.10.01.063.00,6/1/14,0,,,11.5395674,0,0,60
045.10.01.251.00,6/1/14,0,,,12.01370075,0,0,60
045.10.01.265.00,6/1/14,0,,9/1/18,11.94470788,0,1,51
045.30.00.001.40,6/1/14,0,,2/1/15,11.22524339,0,1,8
045.30.00.001.40,6/1/14,0,,2/1/15,11.22524339,0,1,8
045.30.00.001.40,6/1/14,0,,5/1/18,11.22524339,0,1,47
045.30.00.194.00,6/1/14,0,,,11.58896015,0,0,60
045.30.01.062.00,6/1/14,0,,4/1/17,11.65961984,0,1,34
045.30.01.160.00,6/1/14,0,,,11.67759209,0,0,60
045.30.01.205.00,6/1/14,0,,5/1/17,11.84222921,0,1,35
054.14.03.003.00,6/1/14,0,,,18.22982286,0,0,60
054.14.03.004.00,6/1/14,0,,,18.22982286,0,0,60
054.21.02.003.00,6/1/14,0,,10/1/16,11.13019984,0,1,28
054.21.02.003.00,6/1/14,0,,10/1/16,11.13019984,0,1,28
054.21.06.015.00,6/1/14,0,,,11.02841715,0,0,60
054.21.13.011.00,6/1/14,0,,,11.84868316,0,0,60
054.21.14.013.00,6/1/14,0,,,11.33857208,0,0,60
054.21.22.008.00,6/1/14,0,,,12.07254125,0,0,60
054.22.05.001.00,6/1/14,0,,,11.73606902,0,0,60
054.22.12.011.00,6/1/14,0,,,12.50246666,0,0,60
054.22.15.011.00,6/1/14,0,,,9.903487553,0,0,60
054.22.32.023.00,6/1/14,0,,,9.350102314,0,0,60
054.22.38.008.00,6/1/14,0,,8/1/18,12.3883942,0,1,50
054.23.04.023.00,6/1/14,0,,6/1/17,12.27839331,0,1,36
054.23.04.024.00,6/1/14,0,,6/1/17,12.27839331,0,1,36
054.23.19.027.00,6/1/14,0,7/1/14,,11.10645986,1,0,1
