id,hap,fdummy,sdummy,spell,saleval
045.30.00.584.00,0,0,0,48,11.8968264
045.30.00.605.00,0,0,1,26,11.54248427
045.30.00.605.00,0,0,1,18,11.54248427
045.30.00.605.00,0,0,1,20,11.54248427
045.30.00.610.00,0,0,0,48,11.06507464
045.30.00.619.00,0,0,0,48,11.61728548
045.30.00.650.00,0,1,0,8,11.24635236
045.30.00.653.00,0,0,1,23,11.51292546
045.30.01.018.00,0,0,1,41,11.69524702
045.30.01.018.00,0,0,1,13,11.69524702
045.30.01.018.00,0,0,1,41,11.69524702
045.30.01.018.00,0,0,1,13,11.69524702
045.30.01.025.00,0,0,0,48,11.27720313
045.30.01.030.00,0,0,0,48,11.75978554
045.30.01.032.00,0,0,1,34,11.74799759
045.30.01.065.00,0,0,0,48,11.88103479
045.30.01.066.00,0,0,1,29,11.78676213
045.30.01.083.00,0,0,0,48,11.75508702
045.30.01.083.00,0,0,0,48,11.75508702
045.30.01.126.00,0,0,0,48,11.75194237
045.30.01.130.00,0,0,0,48,11.88448902
045.30.01.151.00,0,0,0,48,11.73606902
045.30.01.164.00,0,0,0,48,11.84222921
045.30.01.168.00,0,0,0,48,11.87059991
045.30.01.168.00,0,0,0,48,11.87059991
045.30.01.197.00,0,0,0,48,11.69441334
045.30.01.200.00,0,0,0,48,11.81303006
045.40.00.016.00,0,0,0,48,11.81303006
045.40.00.035.00,0,0,1,34,11.17043516
045.40.00.035.00,0,0,1,36,11.17043516
045.40.00.064.00,0,0,0,48,11.57119437
045.40.00.096.00,0,0,0,48,11.80559508
045.40.00.096.00,0,0,0,48,11.80559508
045.40.00.108.00,0,0,1,29,11.54248427
045.40.00.108.00,0,0,1,29,11.54248427
045.40.00.144.00,0,0,0,48,11.60823564
054.12.06.002.00,0,0,0,48,11.37939407
054.14.07.001.01,0,0,1,17,11.81303006
054.14.07.001.01,0,0,1,17,11.81303006
054.14.12.008.00,0,0,0,48,13.12236338
054.14.12.011.00,0,0,1,44,13.39239051
054.14.12.011.00,0,0,1,18,13.39239051
054.14.13.003.01,0,0,0,48,12.9360338
054.14.13.003.01,0,0,0,48,12.9360338
054.14.17.001.08,0,0,0,48,12.07254125
054.14.18.007.00,0,0,1,19,14.21763676
054.14.18.007.00,0,0,1,19,14.21763676
054.21.01.016.00,0,0,0,48,12.4292162
054.21.01.016.00,0,0,0,48,12.4292162
054.21.02.001.00,0,0,0,48,13.96780237
054.21.02.008.01,0,0,1,24,12.52452638
054.21.02.009.02,0,1,0,6,11.40756495
054.21.02.009.02,0,1,0,6,11.40756495
054.21.02.012.01,0,0,0,48,12.7512997
054.21.02.012.01,0,0,0,48,12.7512997
054.21.03.010.00,0,0,0,48,12.1281111
054.21.03.028.00,0,0,1,24,12.48559653
054.21.03.033.00,0,0,1,24,12.48559653
054.21.03.035.00,0,0,1,38,12.89921983
054.21.04.001.00,0,0,1,42,11.45105006
054.21.04.001.00,0,0,1,42,11.45105006
054.21.04.014.00,0,0,1,21,9.210340372
054.21.04.014.00,0,0,1,38,9.210340372
054.21.04.036.00,0,0,0,48,11.71177632
054.21.04.046.00,0,0,0,48,11.94794938
054.21.05.006.00,0,0,0,48,11.72803684
054.21.05.014.00,0,0,0,48,10.73639668
054.21.05.014.00,0,0,0,48,10.73639668
054.21.06.007.01,0,0,0,48,12.14472902
054.21.06.007.01,0,0,0,48,12.14472902
054.21.06.013.00,0,0,0,48,12.14472902
054.21.06.013.00,0,0,0,48,12.14472902
054.21.06.024.00,0,0,0,48,11.91170158
054.21.06.024.00,0,0,0,48,11.91170158
054.21.06.033.00,0,0,0,48,10.7254676
054.21.07.002.00,0,0,0,48,11.28978191
054.21.07.004.00,0,0,0,48,12.01370075
054.21.08.024.00,0,0,1,19,10.46310334
054.21.11.001.00,0,0,0,48,12.14472902
054.21.11.001.00,0,0,0,48,12.14472902
054.21.11.009.00,0,0,1,25,9.798127037
054.21.11.022.00,0,0,0,48,10.04324949
054.21.11.025.00,0,0,0,48,13.46666205
054.21.11.025.00,0,0,0,48,13.46666205
054.21.12.022.00,0,0,0,48,12.28765263
054.21.14.002.00,0,0,1,19,11.69524702
054.21.14.014.00,0,0,0,48,12.12540474
054.21.15.022.00,0,0,0,48,11.51292546
054.21.15.022.00,0,0,0,48,11.51292546
054.21.18.001.00,0,0,0,48,11.88448902
054.21.18.003.00,0,0,0,48,12.3883942
054.21.18.003.00,0,0,0,48,12.3883942
054.21.18.007.00,0,0,0,48,11.15625052
054.21.18.007.00,0,0,0,48,11.15625052
054.21.18.016.00,0,0,0,48,11.91839057
054.21.18.016.01,0,0,0,48,12.01370075
054.21.19.004.00,0,0,0,48,12.87901712
054.21.22.015.00,0,0,0,48,12.03765399
054.21.22.016.00,0,0,0,48,11.91839057
054.21.22.024.00,0,0,0,48,11.60823564
054.22.01.015.00,0,0,0,48,11.91839057
054.22.05.020.00,0,0,0,48,11.71749763
054.22.06.012.00,0,0,0,48,12.01370075
054.22.07.007.00,0,0,0,48,10.34174248
054.22.07.007.00,0,0,0,48,10.34174248
054.22.07.011.00,0,0,0,48,11.55214618
054.22.07.011.00,0,0,0,48,11.55214618
054.22.07.016.00,0,0,0,48,11.73606902
054.22.09.003.00,0,0,1,22,10.46310334
054.22.09.004.00,0,0,1,22,10.71441777
054.22.09.016.00,0,0,0,48,10.77895629
054.22.09.016.00,0,0,0,48,10.77895629
054.22.13.001.00,0,0,0,48,12.56024446
054.22.13.001.00,0,0,0,48,12.56024446
054.22.13.004.00,0,1,0,7,11.00209984
054.22.13.007.00,0,0,0,48,9.210340372
054.22.13.007.00,0,0,0,48,9.210340372
054.22.13.024.00,0,0,1,27,11.54248427
054.22.18.006.00,0,0,0,48,11.50489329
054.22.18.007.00,0,0,1,25,11.55789883
054.22.18.011.00,0,0,0,48,4.605170186
054.22.18.018.00,0,0,0,48,10.96819829
054.22.18.029.00,0,0,0,48,10.59663473
054.22.18.030.00,0,0,1,18,4.605170186
054.22.18.030.00,0,0,1,25,4.605170186
054.22.18.031.00,0,0,1,15,6.396929655
054.22.18.041.00,0,0,0,48,8.9226583
054.22.18.041.00,0,0,0,48,8.9226583
054.22.19.004.00,0,0,0,48,11.02679245
054.22.26.001.00,0,0,0,48,10.14643373
054.22.26.001.00,0,0,0,48,10.14643373
054.22.26.019.00,0,0,1,24,9.903487553
054.22.26.019.00,0,0,1,24,9.903487553
054.22.28.017.00,0,0,0,48,10.15034763
054.22.28.017.00,0,0,0,48,10.15034763
054.22.31.009.00,0,0,0,48,11.95761129
054.22.32.006.00,0,0,0,48,11.28978191
054.22.32.008.00,0,0,0,48,11.40756495
054.22.33.014.00,0,0,0,48,8.9226583
054.22.33.016.00,0,0,1,37,10.56874953
054.22.33.024.00,0,0,0,48,9.61580548
054.22.33.025.00,0,0,0,48,10.1266311
054.22.36.020.00,0,0,0,48,11.28978191
054.22.37.011.00,0,0,0,48,13.16158409
054.22.38.017.00,0,0,1,26,10.93310697
054.22.38.018.00,0,0,1,37,10.93310697
054.22.40.016.00,0,1,0,31,11.08214255
054.23.03.004.00,0,0,0,48,12.10071213
054.23.03.009.00,0,0,0,48,11.61728548
054.23.04.009.02,0,0,1,26,11.91839057
054.23.05.001.00,0,0,0,48,12.07254125
054.23.07.010.00,0,0,0,48,13.12236338
054.23.08.020.00,0,0,0,48,11.91839057
054.23.08.021.00,0,0,0,48,11.91839057
