id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
054.22.32.023.00,6/1/14,0,,,0,0,60,9.350102314,7.97831097,4.770684624
054.22.38.008.00,6/1/14,0,,8/1/18,0,1,50,12.3883942,7.670428522,4.605170186
055.12.02.067.00,6/1/14,0,,8/1/17,0,1,38,10.32875529,7.026426809,4.584967479
055.12.02.067.00,6/1/14,0,12/1/17,,1,0,42,10.32875529,7.026426809,4.584967479
055.12.05.029.00,6/1/14,0,,,0,0,60,9.952277717,6.958448393,4.17438727
055.12.23.007.00,6/1/14,0,,10/1/17,0,1,40,9.546812609,6.756932389,4.691347882
055.12.23.007.00,6/1/14,0,3/1/18,,1,0,45,9.546812609,6.756932389,4.691347882
055.13.15.038.00,6/1/14,0,,,0,0,60,11.67419361,7.802209316,4.691347882
055.14.22.013.00,6/1/14,0,,10/1/18,0,1,52,11.66134547,7.640123173,4.779123493
055.20.08.005.02,6/1/14,1,,4/1/17,0,1,34,11.40756495,7.297768283,4.025351691
055.20.08.005.02,6/1/14,1,,8/1/15,0,1,14,11.40756495,7.297768283,4.025351691
055.21.01.106.00,6/1/14,0,,9/1/15,0,1,15,11.79282735,7.869401713,3.091042453
055.21.01.106.00,6/1/14,0,,10/1/16,0,1,28,11.79282735,7.869401713,3.091042453
055.21.01.119.00,6/1/14,0,,11/1/18,0,1,53,11.6784399,7.869401713,3.091042453
055.21.01.122.00,6/1/14,0,,11/1/18,0,1,53,11.77143616,7.869401713,3.091042453
055.21.01.166.00,6/1/14,0,,11/1/18,0,1,53,11.05564061,7.869401713,2.995732274
055.32.04.077.00,6/1/14,0,,,0,0,60,11.94145585,8.361474616,4.553876892
055.41.07.015.00,6/1/14,0,,11/1/18,0,1,53,11.9316358,8.42002128,4.770684624
055.41.09.016.00,6/1/14,0,,8/1/18,0,1,50,11.46163217,7.383989458,4.127134385
055.41.09.016.00,6/1/14,0,,9/1/15,0,1,15,11.46163217,7.383989458,4.127134385
055.41.09.016.00,6/1/14,0,,6/1/16,0,1,24,11.46163217,7.383989458,4.127134385
055.41.12.021.00,6/1/14,0,,,0,0,60,11.69524702,7.335633982,4.65396035
055.42.04.005.00,6/1/14,0,3/1/15,,1,0,9,10.73639668,7.160069208,4.343805422
056.11.07.021.00,6/1/14,0,,,0,0,60,11.21182037,7.497761701,4.532599493
056.11.08.062.00,6/1/14,0,,5/1/18,0,1,47,11.39526742,7.407924323,4.644390899
056.12.03.018.00,6/1/14,0,,,0,0,60,,7.273786318,4.510859507
056.12.04.024.00,6/1/14,0,,,0,0,60,10.20359214,7.076653815,4.532599493
056.12.09.008.00,6/1/14,0,8/1/18,,1,0,50,11.04292184,8.187021067,4.543294782
056.13.02.148.00,6/1/14,0,,,0,0,60,11.25285856,7.143617603,4.143134726
056.32.22.034.00,6/1/14,0,,,0,0,60,9.61580548,7.465082736,4.605170186
056.41.03.031.00,6/1/14,0,,4/1/18,0,1,46,11.08367983,7.166265974,3.988984047
056.41.03.075.00,6/1/14,0,,7/1/18,0,1,49,11.15625052,7.026426809,4.718498871
056.41.06.007.00,6/1/14,0,,1/1/16,0,1,19,11.22524339,7.605392365,4.553876892
056.41.06.007.00,6/1/14,0,,8/1/15,0,1,14,11.22524339,7.605392365,4.553876892
056.41.06.007.00,6/1/14,0,,12/1/16,0,1,30,11.22524339,7.605392365,4.553876892
056.43.03.016.00,6/1/14,0,,,0,0,60,11.11988288,7.145196135,4.532599493
056.43.10.004.00,6/1/14,0,8/1/14,,1,0,2,10.86092023,7.401231264,4.584967479
056.44.05.011.00,6/1/14,0,,,0,0,60,9.61580548,7.239214974,4.709530201
056.44.05.014.00,6/1/14,0,9/1/14,,1,0,3,10.81977828,7.446001498,4.700480366
040.32.01.003.00,7/1/14,0,,,0,0,60,11.48760766,7.726212651,4.584967479
041.30.02.006.66,7/1/14,0,,12/1/18,0,1,53,12.84792653,8.04462628,2.302585093
041.30.02.006.66,7/1/14,0,,3/1/15,0,1,8,12.84792653,8.04462628,2.302585093
041.33.03.002.00,7/1/14,0,,,0,0,60,11.31447453,7.288927695,3.091042453
045.10.00.004.00,7/1/14,0,,7/1/16,0,1,24,11.00209984,7.007600614,4.406719247
045.10.01.008.00,7/1/14,0,,1/1/17,0,1,30,11.8313792,7.337587744,3.091042453
045.30.00.297.00,7/1/14,0,,,0,0,60,11.40756495,7.171656823,3.850147602
045.30.00.619.00,7/1/14,0,,7/1/15,0,1,12,10.858999,6.856461985,3.871201011
054.21.12.023.00,7/1/14,0,,10/1/17,0,1,39,12.30138283,7.916078096,4.644390899
054.22.09.013.00,7/1/14,0,,,0,0,60,10.1266311,7.671360923,4.700480366
054.42.04.034.00,7/1/14,0,,,0,0,60,10.91508846,6.551080335,3.828641396
055.11.22.039.00,7/1/14,0,,10/1/18,0,1,51,9.75846178,7.262628601,4.852030264
055.11.27.014.00,7/1/14,0,,,0,0,60,9.752664663,7.206377291,4.663439094
055.12.14.016.00,7/1/14,0,,,0,0,60,10.89858946,7.085901464,4.521788577
055.14.01.013.00,7/1/14,0,,,0,0,60,10.74935582,7.060476366,4.356708827
055.14.19.018.00,7/1/14,0,1/1/17,,1,0,30,10.65725935,6.784457063,4.644390899
055.20.06.001.04,7/1/14,0,,,0,0,60,11.44571672,7.292337176,3.988984047
055.21.01.111.00,7/1/14,0,,11/1/18,0,1,52,11.44357539,7.869401713,3.044522438
055.21.10.021.00,7/1/14,0,,,0,0,60,11.45105006,7.279318835,3.931825633
055.23.08.014.00,7/1/14,0,,,0,0,60,10.35774282,7.063048163,4.682131227
055.24.03.009.00,7/1/14,0,,2/1/17,0,1,31,9.908475094,7.484368643,4.532599493
055.32.03.008.00,7/1/14,0,,,0,0,60,11.66564655,7.724004657,4.753590191
055.32.07.013.00,7/1/14,0,,4/1/15,0,1,9,11.56171563,7.431299675,4.762173935
055.32.12.004.00,7/1/14,0,,,0,0,60,11.01862914,7.718240952,4.691347882
055.32.21.009.00,7/1/14,0,,10/1/16,0,1,27,9.680344001,6.421622268,4.820281566
055.32.27.012.00,7/1/14,0,,,0,0,60,9.61580548,7.224024808,4.779123493
055.41.15.004.00,7/1/14,0,,9/1/17,0,1,38,11.90496755,7.56112159,4.532599493
055.41.15.004.00,7/1/14,0,4/1/18,,1,0,45,11.90496755,7.56112159,4.532599493
