"","id","date","saleval"
"295","045.30.00.502.01",2016-06-01,109800
"296","045.30.00.539.00",2016-06-01,108000
"297","045.30.00.551.00",2016-06-01,NA
"298","045.30.00.630.00",2016-06-01,104000
"299","045.30.00.650.00",2016-06-01,110000
"300","045.30.01.018.00",2016-06-01,115000
"301","045.30.01.033.00",2016-06-01,95000
"302","045.30.01.041.00",2016-06-01,140000
"303","045.30.01.159.00",2016-06-01,136500
"304","045.40.00.142.00",2016-06-01,118000
"305","045.40.00.172.00",2016-06-01,8500
"306","054.14.09.003.00",2016-06-01,550000
"307","054.14.15.008.00",2016-06-01,NA
"308","054.21.03.006.00",2016-06-01,490000
"309","054.21.05.001.00",2016-06-01,195000
"310","054.21.05.017.00",2016-06-01,101600
"311","054.21.06.023.00",2016-06-01,132500
"312","054.21.13.036.00",2016-06-01,34000
"313","054.21.14.004.00",2016-06-01,121500
"314","054.21.18.009.00",2016-06-01,100000
"315","054.21.20.009.00",2016-06-01,550000
"316","054.22.03.004.00",2016-06-01,2500
"317","054.22.03.007.00",2016-06-01,16000
"318","054.22.07.024.00",2016-06-01,850000
"319","054.22.10.004.00",2016-06-01,42000
"320","054.22.12.024.00",2016-06-01,59100
"321","054.22.13.014.00",2016-06-01,70000
"322","054.22.13.017.00",2016-06-01,1000
"323","054.22.15.007.00",2016-06-01,23300
"324","054.22.17.005.00",2016-06-01,128000
"325","054.22.23.003.00",2016-06-01,60000
"326","054.22.28.022.00",2016-06-01,55000
"327","054.22.30.005.00",2016-06-01,245000
"328","054.22.37.002.00",2016-06-01,293500
"329","054.23.04.015.00",2016-06-01,150000
"330","054.23.04.016.00",2016-06-01,120000
"331","054.23.05.022.00",2016-06-01,4600000
"332","054.23.10.008.00",2016-06-01,69000
"333","054.23.13.003.00",2016-06-01,175000
"334","054.23.18.020.00",2016-06-01,500000
"335","054.24.15.008.00",2016-06-01,82000
"336","054.24.19.027.00",2016-06-01,125000
"337","054.24.21.011.00",2016-06-01,120000
"338","054.24.27.026.00",2016-06-01,8000
"339","054.42.01.018.00",2016-06-01,18000
"340","055.11.22.023.00",2016-06-01,9100
"341","055.11.23.012.00",2016-06-01,78400
"342","055.11.24.029.00",2016-06-01,20000
"343","055.11.27.001.00",2016-06-01,48000
"344","055.11.28.006.01",2016-06-01,18000
"345","055.11.28.006.02",2016-06-01,15000
"346","055.11.28.008.00",2016-06-01,45000
"347","055.12.01.008.00",2016-06-01,51500
"348","055.12.02.043.00",2016-06-01,134000
"349","055.12.03.009.00",2016-06-01,56000
"350","055.12.08.010.00",2016-06-01,60000
"351","055.12.09.026.00",2016-06-01,85000
"352","055.12.09.028.00",2016-06-01,85000
"353","055.12.23.033.00",2016-06-01,78000
"354","055.13.07.027.00",2016-06-01,6600
"355","055.13.07.032.00",2016-06-01,22000
"356","055.13.11.026.00",2016-06-01,23000
"357","055.14.15.021.00",2016-06-01,60000
"358","055.14.15.022.00",2016-06-01,60000
"359","055.14.15.023.00",2016-06-01,60000
"360","055.14.15.024.00",2016-06-01,60000
"361","",NA,NA
"362","055.14.18.014.00",2016-06-01,33300
"363","055.14.23.001.00",2016-06-01,NA
"364","055.14.27.034.00",2016-06-01,415000
"365","055.20.06.001.08",2016-06-01,102000
"366","055.21.01.002.00",2016-06-01,139000
"367","055.21.03.012.00",2016-06-01,35300
"368","055.21.04.023.00",2016-06-01,33300
"369","055.23.04.005.00",2016-06-01,82500
"370","055.23.10.015.00",2016-06-01,64400
"371","055.23.18.010.00",2016-06-01,12100
"372","055.23.18.018.00",2016-06-01,62000
"373","055.23.19.001.00",2016-06-01,40500
"374","055.24.06.021.00",2016-06-01,50000
"375","055.31.04.008.00",2016-06-01,97900
"376","055.31.14.002.00",2016-06-01,38000
"377","055.31.26.012.00",2016-06-01,76000
"378","055.32.01.010.00",2016-06-01,18000
"379","055.32.03.022.00",2016-06-01,150000
"380","055.32.10.024.00",2016-06-01,95000
"381","055.32.21.008.00",2016-06-01,60000
"382","055.32.27.038.00",2016-06-01,27000
"383","055.32.28.016.00",2016-06-01,109000
"384","055.34.01.007.00",2016-06-01,43000
"385","055.41.05.011.00",2016-06-01,NA
"386","055.41.09.009.00",2016-06-01,128500
"387","055.41.09.016.00",2016-06-01,165400
"388","055.41.14.002.00",2016-06-01,117000
"389","055.42.02.009.00",2016-06-01,80000
"390","056.11.02.006.00",2016-06-01,7000
"391","056.11.02.024.00",2016-06-01,26000
"392","056.11.02.029.00",2016-06-01,50000
"393","056.11.07.070.00",2016-06-01,113000
"394","056.11.08.026.00",2016-06-01,40000
"395","056.11.08.035.00",2016-06-01,61500
"396","056.11.08.051.00",2016-06-01,38000
"397","056.12.11.007.00",2016-06-01,48000
"398","056.12.15.002.00",2016-06-01,64300
"399","056.12.16.008.00",2016-06-01,61000
"400","056.12.16.016.00",2016-06-01,42600
"401","056.13.02.065.00",2016-06-01,21500
"402","056.13.04.011.01",2016-06-01,42100
"403","056.14.08.003.00",2016-06-01,46700
"404","056.14.14.006.00",2016-06-01,82500
"405","056.23.01.011.00",2016-06-01,25000
"406","056.31.02.009.00",2016-06-01,42000
"407","056.31.06.010.00",2016-06-01,83000
"408","056.31.08.007.00",2016-06-01,19000
