id,date,hap,fdummy,sdummy,spell
045.00.01.225.00,42614,0,0,0,36
045.00.01.234.00,42401,0,0,0,36
045.00.01.234.00,42401,0,0,0,36
045.00.01.247.00,42583,0,0,1,17
045.00.01.254.00,42644,0,0,1,7
045.00.01.254.00,42522,0,0,1,11
045.00.01.264.00,42583,0,0,0,36
045.00.02.002.00,42522,0,0,1,11
045.00.02.002.00,42522,0,0,1,26
045.00.02.020.00,42401,0,0,0,36
045.00.02.020.00,42401,0,0,0,36
045.00.02.025.00,42401,0,0,0,36
045.00.02.025.00,42401,0,0,0,36
045.00.02.032.00,42644,0,0,0,36
045.00.02.032.00,42644,0,0,0,36
045.00.02.043.00,42370,0,0,0,36
045.10.00.004.00,42552,0,0,0,36
045.10.01.037.00,42614,0,0,0,36
045.10.01.043.00,42644,0,0,0,36
045.10.01.043.00,42644,0,0,0,36
045.10.01.065.00,42644,0,0,1,10
045.10.01.067.00,42614,0,0,0,36
045.10.01.080.03,42552,0,0,0,36
045.10.01.093.00,42614,0,0,0,36
045.10.01.099.00,42614,0,0,1,16
045.10.01.105.00,42583,0,0,0,36
045.10.01.123.00,42614,0,1,0,4
045.10.01.123.00,42644,0,1,0,3
045.10.01.148.00,42401,0,0,0,36
045.10.01.148.00,42401,0,0,0,36
045.10.01.183.00,42552,0,0,1,13
045.10.01.204.00,42552,0,1,0,1
045.10.01.204.00,42583,0,0,0,36
045.10.01.206.00,42552,0,0,0,36
045.10.01.231.00,42614,0,0,0,36
045.10.01.261.00,42552,0,0,0,36
045.20.00.002.00,42614,0,0,0,36
045.30.00.001.03,42614,0,0,1,26
045.30.00.001.15,42522,0,0,1,12
045.30.00.001.16,42401,0,0,0,36
045.30.00.001.16,42401,0,0,0,36
045.30.00.001.34,42583,0,0,1,25
045.30.00.001.49,42583,0,0,0,36
045.30.00.001.79,42644,0,0,0,36
045.30.00.002.10,42614,0,0,0,36
045.30.00.002.20,42583,0,0,0,36
045.30.00.002.22,42644,0,0,0,36
045.30.00.002.29,42644,0,0,0,36
045.30.00.002.74,42370,0,0,0,36
045.30.00.017.00,42522,0,0,0,36
045.30.00.052.00,42644,0,0,0,36
045.30.00.055.00,42552,0,0,0,36
045.30.00.055.00,42522,0,0,0,36
045.30.00.063.00,42522,0,0,1,25
045.30.00.113.00,42552,0,0,1,12
045.30.00.113.00,42552,0,0,1,18
045.30.00.119.00,42583,1,0,0,36
045.30.00.167.00,42401,0,0,0,36
045.30.00.167.00,42401,0,0,0,36
045.30.00.169.00,42522,0,0,0,36
045.30.00.178.00,42614,0,1,0,7
045.30.00.181.00,42552,1,0,0,36
045.30.00.199.00,42583,0,0,0,36
045.30.00.202.00,42370,0,0,0,36
045.30.00.238.00,42583,0,0,1,7
045.30.00.287.00,42370,0,0,0,36
045.30.00.287.00,42614,0,0,0,36
045.30.00.314.00,42522,0,0,0,36
045.30.00.388.00,42614,0,0,0,36
045.30.00.422.00,42552,0,0,1,25
045.30.00.422.00,42644,0,0,1,22
045.30.00.454.00,42522,0,0,1,7
045.30.00.490.00,42583,0,0,0,36
045.30.00.502.01,42522,0,0,0,36
045.30.00.539.00,42522,0,0,0,36
045.30.00.544.00,42583,0,0,0,36
045.30.00.551.00,42522,0,0,0,36
045.30.00.630.00,42522,0,0,1,9
045.30.00.639.00,42552,0,0,1,6
045.30.00.639.00,42552,0,0,1,10
045.30.00.639.00,42644,0,0,1,3
045.30.00.639.00,42644,0,0,1,7
045.30.00.650.00,42522,0,0,0,36
045.30.00.660.01,42644,0,0,1,6
045.30.01.018.00,42522,0,0,1,28
045.30.01.033.00,42522,0,0,1,8
045.30.01.033.00,42522,0,0,1,28
045.30.01.033.00,42522,0,0,1,11
045.30.01.041.00,42522,0,0,1,12
045.30.01.055.00,42644,0,0,0,36
045.30.01.072.00,42644,0,0,1,21
045.30.01.111.00,42401,0,0,0,36
045.30.01.111.00,42401,0,0,0,36
045.30.01.117.00,42552,0,0,1,25
045.30.01.159.00,42522,0,0,0,36
045.30.01.173.00,42552,0,0,0,36
045.30.01.176.00,42583,0,0,0,36
045.40.00.058.00,42644,0,0,0,36
045.40.00.058.00,42644,0,0,0,36
045.40.00.091.00,42644,0,0,1,24
045.40.00.105.00,42552,0,0,0,36
045.40.00.131.00,42614,0,0,0,36
045.40.00.142.00,42522,1,0,0,36
045.40.00.172.00,42522,0,0,0,36
045.40.00.178.02,42583,0,0,0,36
054.14.07.001.01,42644,0,0,0,36
054.14.07.003.00,42401,0,0,0,36
054.14.07.003.00,42401,0,0,0,36
054.14.09.003.00,42522,0,0,0,36
054.14.12.011.00,42614,0,0,1,26
054.14.14.011.01,42370,0,0,0,36
054.14.14.012.00,42370,0,0,0,36
054.14.14.016.00,42401,0,0,0,36
054.14.14.016.00,42401,0,0,0,36
054.14.15.005.01,42552,0,0,0,36
054.14.15.007.00,42401,0,0,0,36
054.14.15.007.00,42401,0,0,0,36
054.14.15.008.00,42522,0,0,0,36
