id,hap,fdummy,sdummy,spell,age,sqft,saleval
054.21.12.022.00,0,0,0,48,4.882801923,7.868636894,12.28765263
054.22.09.003.00,0,0,1,22,4.736198448,6.858565035,10.46310334
054.22.09.004.00,0,0,1,22,4.736198448,7.096721378,10.71441777
054.22.09.016.00,0,0,0,48,4.691347882,6.883462586,10.77895629
054.22.09.016.00,0,0,0,48,4.691347882,6.883462586,10.77895629
054.22.18.031.00,0,0,1,15,4.682131227,7.860185057,6.396929655
054.22.26.001.00,0,0,0,48,3.17805383,7.562161631,10.14643373
054.22.26.001.00,0,0,0,48,3.17805383,7.562161631,10.14643373
054.22.33.016.00,0,0,1,37,5.105945474,7.114769448,10.56874953
054.22.33.024.00,0,0,0,48,4.927253685,6.944087208,9.61580548
054.22.37.011.00,0,0,0,48,5.049856007,8.57035474,13.16158409
054.23.03.009.00,0,0,0,48,4.736198448,7.379632153,11.61728548
054.23.11.001.02,0,0,1,19,0.693147181,7.898411093,13.52782849
054.23.11.001.03,0,0,1,16,0.693147181,7.898411093,13.52782849
054.23.11.001.04,0,0,1,23,0,7.584773078,13.52782849
054.23.11.001.05,0,0,1,21,0,7.584773078,13.52782849
054.23.11.001.06,0,0,1,16,0.693147181,7.898411093,13.52782849
054.23.11.001.07,0,0,1,14,0.693147181,7.995643604,13.52782849
054.23.11.001.08,0,0,0,48,0.693147181,7.705262475,13.52782849
054.23.11.001.09,0,0,1,13,0.693147181,7.742402022,13.52782849
054.23.13.022.00,0,0,0,48,4.543294782,7.800572655,11.22524339
054.23.18.006.00,0,0,0,48,4.634728988,7.170119543,11.92900075
054.23.19.016.00,0,0,1,39,4.990432587,7.461640392,12.44901882
054.23.24.015.00,0,0,0,48,5.247024072,7.344072851,12.23076526
054.23.24.015.00,0,0,0,48,5.247024072,7.344072851,12.23076526
054.23.25.015.00,0,0,0,48,4.779123493,7.942006808,11.91839057
054.42.03.020.00,0,0,0,48,4.927253685,7.037905963,10.30895266
054.42.03.020.00,0,0,0,48,4.927253685,7.037905963,10.30895266
054.42.08.002.00,0,0,0,48,4.521788577,6.689599269,10.01681624
054.42.08.013.00,0,0,0,48,4.521788577,6.620073207,10.01681624
054.42.08.016.00,0,0,0,48,4.521788577,6.697034248,8.517193191
054.42.08.016.00,0,0,0,48,4.521788577,6.697034248,8.517193191
054.42.11.015.00,0,0,0,48,4.49980967,7.241366283,10.01681624
054.42.11.036.00,0,0,0,48,4.564348191,7.109062136,9.903487553
055.11.08.006.00,0,0,1,6,5.030437921,7.063048163,10.14250445
055.11.08.006.00,0,0,1,6,5.030437921,7.063048163,10.14250445
055.11.08.006.00,0,0,1,6,5.030437921,7.063048163,10.14250445
055.11.08.006.00,0,0,1,6,5.030437921,7.063048163,10.14250445
055.11.08.010.00,0,0,0,48,4.795790546,7.416979621,10.91508846
055.11.08.010.00,0,0,0,48,4.795790546,7.416979621,10.91508846
055.11.09.002.00,0,0,0,48,4.934473933,6.938284484,9.392661929
055.11.09.002.00,0,0,0,48,4.934473933,6.938284484,9.392661929
055.11.11.002.00,0,1,0,4,4.691347882,7.330405212,10.82177629
055.11.12.005.00,0,0,0,48,4.727387819,6.612041035,10.34174248
055.11.12.005.00,0,0,0,48,4.727387819,6.612041035,10.34174248
055.11.12.009.00,0,0,0,48,4.727387819,6.551080335,10.53209621
055.11.13.011.00,0,0,0,48,4.795790546,6.66949809,10.46024211
055.11.13.011.00,0,0,0,48,4.795790546,6.66949809,10.46024211
055.11.16.004.00,0,0,0,48,4.941642423,6.958448393,9.786953736
055.11.16.004.00,0,0,0,48,4.941642423,6.958448393,9.786953736
055.11.16.011.00,0,0,1,40,4.727387819,6.704414355,9.798127037
055.11.16.011.00,0,0,1,40,4.727387819,6.704414355,9.798127037
055.11.16.011.00,0,0,1,40,4.727387819,6.704414355,9.798127037
055.11.16.011.00,0,0,1,40,4.727387819,6.704414355,9.798127037
055.11.16.020.00,0,0,0,48,4.634728988,7.295056416,10.67821472
055.11.17.043.00,0,0,0,48,4.060443011,6.91968385,10.04324949
055.11.25.008.00,0,0,1,44,4.770684624,7.685243608,10.4487146
055.11.25.008.00,0,0,1,44,4.770684624,7.685243608,10.4487146
055.11.32.005.00,0,0,1,23,5.123963979,7.473069088,10.46310334
055.11.32.005.00,0,0,1,23,5.123963979,7.473069088,10.46310334
055.11.32.028.00,0,1,0,10,4.770684624,7.431299675,11.19684392
055.11.32.028.00,0,1,0,10,4.770684624,7.431299675,11.19684392
055.12.01.011.00,0,0,0,48,4.356708827,7.467942332,11.56171563
055.12.02.036.00,0,0,0,48,4.615120517,7.002155954,11.26446411
055.12.03.014.00,0,0,1,16,4.852030264,6.866933284,10.04324949
055.12.05.025.00,0,0,0,48,4.700480366,7.237059026,8.517193191
055.12.05.027.00,0,1,0,24,4.262679877,6.777646594,11.08214255
055.12.05.027.00,0,1,0,24,4.262679877,6.777646594,11.08214255
055.12.05.036.00,0,0,0,48,4.17438727,7.225481473,11.35040654
055.12.06.006.00,0,0,0,48,4.553876892,6.733401892,11.33857208
055.12.06.014.00,0,0,1,37,4.510859507,7.369600721,10.88369161
055.12.06.014.00,0,0,1,37,4.510859507,7.369600721,10.88369161
055.12.09.018.00,0,0,0,48,4.521788577,7.502186487,10.98529272
